date,venue_code,race_no,boat_no,racer_grade_num,win_rate,local_win_rate,national_2rate,local_2rate,st_avg,fly_count,motor_rate,exhibition_time,exhibition_st,tilt,is_night,wind_speed,rank,is_first
20260114,1,1,1,2,4.86,5.07,0.2784,0.297,0.18,0,0.0,6.94,0.0,0.0,0,9,1,1
20260114,1,1,2,1,4.1,3.38,0.1613,0.125,0.2,0,0.1176,6.9,0.0,0.0,0,9,4,0
20260114,1,1,3,3,5.76,5.3,0.4063,0.4,0.15,0,0.5556,7.02,0.0,0.0,0,9,2,0
20260114,1,1,4,2,3.68,2.56,0.1789,0.0556,0.2,0,0.2,7.04,0.0,0.0,0,9,6,0
20260114,1,1,5,2,4.98,0.0,0.2747,0.0,0.16,0,0.0,6.96,1.0,0.0,0,9,5,0
20260114,1,1,6,2,4.55,2.83,0.2,0.1667,0.16,0,0.4286,6.9,0.0,0.0,0,9,3,0
20260114,1,2,1,2,4.45,3.89,0.2045,0.1110999999999999,0.16,0,0.3,6.82,0.0,0.5,0,9,6,0
20260114,1,2,2,1,6.09,0.0,0.3824,0.0,0.16,0,0.3333,6.95,0.0,0.0,0,9,1,1
20260114,1,2,3,2,5.64,5.84,0.4045,0.4052,0.17,0,0.5556,7.02,0.0,0.0,0,9,2,0
20260114,1,2,4,3,6.28,5.36,0.4472,0.3636,0.17,0,0.4,7.08,0.0,0.0,0,9,4,0
20260114,1,2,5,2,4.81,4.45,0.2754,0.2414,0.16,0,0.1429,6.96,0.0,0.0,0,9,5,0
20260114,1,2,6,3,5.69,0.0,0.4023,0.0,0.15,1,0.3,7.1,0.0,0.0,0,9,3,0
20260114,1,3,1,2,4.35,3.88,0.1805999999999999,0.0,0.18,0,0.375,6.96,0.0,-0.5,0,8,1,1
20260114,1,3,2,3,5.75,5.22,0.4182,0.3333,0.15,0,0.625,6.92,0.0,0.0,0,8,3,0
20260114,1,3,3,2,3.98,0.0,0.1222,0.0,0.16,0,0.5294,6.88,0.0,0.0,0,8,4,0
20260114,1,3,4,4,6.57,6.73,0.4831,0.5333,0.15,1,0.25,6.9,0.0,0.0,0,8,2,0
20260114,1,3,5,2,3.91,5.11,0.1975,0.3333,0.19,0,0.1110999999999999,6.98,0.0,0.0,0,8,6,0
20260114,1,3,6,2,4.74,5.3,0.2317,0.3,0.16,0,0.0,7.05,0.0,0.0,0,8,5,0
20260114,1,4,1,2,4.29,5.11,0.1667,0.2432,0.17,0,0.7778,6.84,0.0,0.0,0,8,1,1
