date,venue_code,race_no,boat_no,racer_grade_num,win_rate,local_win_rate,national_2rate,local_2rate,st_avg,fly_count,motor_rate,exhibition_time,exhibition_st,tilt,is_night,wind_speed,rank,is_first
20260520,1,1,1,2,4.53,0.0,0.2568,0.0,0.14,0,0.3871,,,,0,4,5,0
20260520,1,1,2,1,4.16,4.24,0.1765,0.24,0.2,0,0.2941,,,,0,4,2,0
20260520,1,1,3,3,4.98,0.0,0.2969,0.0,0.15,0,0.5517,,,,0,4,1,1
20260520,1,1,4,1,,,,,,0,,,,,0,4,4,0
20260520,1,1,5,1,,,,,,0,,,,,0,4,3,0
20260520,1,1,6,1,,,,,,0,,,,,0,4,6,0
20260520,1,2,1,2,3.62,3.57,0.1474,0.1143,0.18,0,0.2683,,,,0,4,3,0
20260520,1,2,2,1,,,,,,0,,,,,0,4,4,0
20260520,1,2,3,1,2.6,1.69,0.0645,0.0185,0.2,0,0.4474,,,,0,4,6,0
20260520,1,2,4,3,5.72,0.0,0.3504,0.0,0.16,0,0.3434,,,,0,4,1,1
20260520,1,2,5,1,,,,,,0,,,,,0,4,2,0
20260520,1,2,6,1,,,,,,0,,,,,0,4,5,0
20260520,1,3,1,2,4.86,3.18,0.2857,0.0909,0.18,0,0.2903,,,,0,3,5,0
20260520,1,3,2,2,4.94,3.41,0.2439,0.1110999999999999,0.18,0,0.3303,,,,0,3,1,1
20260520,1,3,3,1,,,,,,0,,,,,0,3,14,0
20260520,1,3,4,1,,,,,,0,,,,,0,3,2,0
20260520,1,3,5,1,,,,,,0,,,,,0,3,4,0
20260520,1,3,6,4,6.3,5.25,0.4138,0.125,0.11,0,0.3246,,,,0,3,3,0
20260520,1,4,1,2,4.64,5.11,0.243,0.2778,0.2,0,0.3684,,,,0,3,1,1
20260520,1,4,2,2,4.69,4.79,0.2976,0.3103,0.18,0,0.4607,,,,0,3,3,0
20260520,1,4,3,2,4.11,3.6,0.1522,0.15,0.16,0,0.4301,,,,0,3,4,0
20260520,1,4,4,1,,,,,,0,,,,,0,3,5,0
20260520,1,4,5,1,,,,,,0,,,,,0,3,6,0
20260520,1,4,6,1,,,,,,0,,,,,0,3,2,0
20260520,1,5,1,2,4.48,5.2,0.2021,0.2667,0.15,0,0.3981,,,,0,3,1,1
20260520,1,5,2,1,,,,,,0,,,,,0,3,3,0
20260520,1,5,3,4,6.03,0.0,0.4090999999999999,0.0,0.15,0,0.2805,,,,0,3,4,0
20260520,1,5,4,1,,,,,,0,,,,,0,3,6,0
20260520,1,5,5,1,,,,,,0,,,,,0,3,5,0
20260520,1,5,6,2,4.0,3.96,0.2113,0.2,0.16,0,0.2614,,,,0,3,2,0
20260520,1,6,1,4,6.4,6.31,0.4443999999999999,0.375,0.13,0,0.3267,,,,0,4,1,1
20260520,1,6,2,2,6.22,0.0,0.4667,0.0,0.17,0,0.2619,,,,0,4,5,0
20260520,1,6,3,2,5.08,5.35,0.3093,0.2727,0.19,0,0.2967,,,,0,4,3,0
20260520,1,6,4,2,3.62,3.57,0.1474,0.1143,0.18,0,0.2683,,,,0,4,4,0
20260520,1,6,5,1,,,,,,0,,,,,0,4,2,0
20260520,1,6,6,1,,,,,,0,,,,,0,4,6,0
20260520,1,7,1,3,5.8,6.05,0.3583,0.4286,0.16,0,0.3486,,,,0,4,1,1
20260520,1,7,2,1,4.22,6.39,0.3333,0.5652,0.11,0,0.3646,,,,0,4,4,0
20260520,1,7,3,4,6.86,5.83,0.54,0.4443999999999999,0.16,0,0.2708,,,,0,4,3,0
20260520,1,7,4,1,,,,,,0,,,,,0,4,5,0
20260520,1,7,5,1,,,,,,0,,,,,0,4,2,0
20260520,1,7,6,1,,,,,,0,,,,,0,4,6,0
20260520,1,8,1,3,6.65,0.0,0.5074000000000001,0.0,0.14,0,0.4736999999999999,,,,0,4,1,1
20260520,1,8,2,2,4.53,0.0,0.2568,0.0,0.14,0,0.3871,,,,0,4,3,0
20260520,1,8,3,1,,,,,,0,,,,,0,4,4,0
20260520,1,8,4,1,,,,,,0,,,,,0,4,6,0
20260520,1,8,5,1,,,,,,0,,,,,0,4,2,0
20260520,1,8,6,1,,,,,,0,,,,,0,4,5,0
20260520,1,9,1,2,5.04,4.07,0.3429,0.1333,0.18,0,0.4090999999999999,,,,1,4,1,1
20260520,1,9,2,1,,,,,,0,,,,,1,4,5,0
20260520,1,9,3,3,5.72,0.0,0.3504,0.0,0.16,0,0.3434,,,,1,4,3,0
20260520,1,9,4,1,,,,,,0,,,,,1,4,6,0
20260520,1,9,5,1,,,,,,0,,,,,1,4,2,0
20260520,1,9,6,1,,,,,,0,,,,,1,4,4,0
20260520,1,10,1,2,6.21,0.0,0.4347999999999999,0.0,0.15,0,0.4,,,,1,3,1,1
20260520,1,10,2,4,6.4,6.31,0.4443999999999999,0.375,0.13,0,0.3267,,,,1,3,4,0
20260520,1,10,3,2,3.81,4.04,0.1682,0.2,0.19,0,0.3265,,,,1,3,5,0
20260520,1,10,4,1,,,,,,0,,,,,1,3,3,0
20260520,1,10,5,1,,,,,,0,,,,,1,3,2,0
20260520,1,10,6,1,,,,,,0,,,,,1,3,6,0
20260520,1,11,1,3,5.82,2.63,0.3846,0.125,0.15,0,0.44,,,,1,2,3,0
20260520,1,11,2,4,6.53,7.42,0.5111,0.5789,0.15,0,0.4257,,,,1,2,1,1
20260520,1,11,3,1,,,,,,0,,,,,1,2,2,0
20260520,1,11,4,1,,,,,,0,,,,,1,2,4,0
20260520,1,11,5,2,4.48,5.2,0.2021,0.2667,0.15,0,0.3981,,,,1,2,5,0
20260520,1,11,6,1,4.22,6.39,0.3333,0.5652,0.11,0,0.3646,,,,1,2,6,0
20260520,1,12,1,4,6.03,0.0,0.4090999999999999,0.0,0.15,0,0.2805,,,,1,1,5,0
20260520,1,12,2,3,6.65,0.0,0.5074000000000001,0.0,0.14,0,0.4736999999999999,,,,1,1,6,0
20260520,1,12,3,1,,,,,,0,,,,,1,1,2,0
20260520,1,12,4,1,,,,,,0,,,,,1,1,1,1
20260520,1,12,5,1,,,,,,0,,,,,1,1,4,0
20260520,1,12,6,1,,,,,,0,,,,,1,1,3,0
20260520,5,1,1,2,3.59,3.36,0.1507,0.1429,0.18,0,0.2632,,,,0,3,3,0
20260520,5,1,2,2,3.93,3.6,0.1449,0.0667,0.16,0,0.4443999999999999,,,,0,3,5,0
20260520,5,1,3,2,5.17,6.14,0.3636,0.5,0.15,0,0.0526,,,,0,3,1,1
20260520,5,1,4,3,5.75,6.0,0.3804,0.5556,0.16,0,0.1176,,,,0,3,2,0
20260520,5,1,5,2,3.74,0.0,0.1538,0.0,0.19,0,0.5,,,,0,3,4,0
20260520,5,1,6,1,0.0,0.0,0.0,0.0,,0,0.5789,,,,0,3,6,0
20260520,5,2,1,2,4.28,4.05,0.2791,0.2716,0.15,0,0.2963,,,,0,2,1,1
20260520,5,2,2,2,3.48,4.31,0.1773999999999999,0.1875,0.16,0,0.1818,,,,0,2,2,0
20260520,5,2,3,2,4.38,4.55,0.1522,0.2759,0.19,0,0.6,,,,0,2,5,0
20260520,5,2,4,3,5.42,5.33,0.36,0.4443999999999999,0.14,0,0.5,,,,0,2,4,0
20260520,5,2,5,3,5.27,5.53,0.3077,0.3529,0.17,0,0.3684,,,,0,2,6,0
